project_id,project_name,state,district,stage,start_date,target_completion_date,actual_or_projected_date,planned_duration_days,compensation_pct,legal_case,rr_status,affected_families,budget_crores,latitude,longitude,delay_days,delay_flag,clr_completed_pct,sector,cost_overrun_pct
PRJ-BI-1001,Patna High-Speed Rail Corridor,Bihar,Patna,Section 4 - Preliminary Notification,2023-10-09,2024-12-12,2025-03-14,430,11.1,1,Pending,3041,897.76,25.60136,85.15208,92,1,99.55,Road Transport and Highways,0.0
PRJ-UT-1002,Varanasi Dedicated Freight Corridor,Uttar Pradesh,Varanasi,Award of Compensation (Section 23/30),2023-01-28,2024-02-15,2024-10-25,383,59.9,1,Completed,2897,2548.67,25.36711,82.89494,253,1,96.79,Road Transport and Highways,0.0
PRJ-TA-1003,Coimbatore Metro Rail Phase-II,Tamil Nadu,Coimbatore,Social Impact Assessment (SIA),2023-08-09,2025-01-14,2025-10-11,524,21.9,1,In Progress,1581,492.4,11.06594,76.99256,270,1,99.92,Road Transport and Highways,0.0
PRJ-MA-1004,Thane River Valley Hydro Irrigation Link,Maharashtra,Thane,Section 11 Notification,2024-01-06,2025-01-16,2025-04-14,376,38.2,0,Pending,212,2510.32,19.27515,73.03674,88,1,99.96,Road Transport and Highways,0.0
PRJ-OD-1005,Sambalpur Industrial Corridor Node,Odisha,Sambalpur,Social Impact Assessment (SIA),2024-01-15,2025-07-11,2025-11-17,543,18.7,0,Pending,1118,851.85,21.48436,83.92858,129,1,99.88,Road Transport and Highways,0.0
PRJ-GU-1006,Vadodara Greenfield Airport Access Highway,Gujarat,Vadodara,Section 19 Declaration (R&R Scheme),2023-10-04,2024-11-11,2024-12-06,404,40.3,0,In Progress,3172,2443.46,22.35601,73.16539,25,0,99.99,Road Transport and Highways,0.0
PRJ-WE-1007,Kolkata Industrial Corridor Node,West Bengal,Kolkata,Social Impact Assessment (SIA),2024-05-26,2026-01-01,2027-03-20,585,10.3,1,Pending,2658,3113.69,22.6118,88.37014,443,1,99.57,Road Transport and Highways,0.0
PRJ-KA-1008,Bengaluru Urban Dedicated Freight Corridor,Karnataka,Bengaluru Urban,Social Impact Assessment (SIA),2024-06-05,2026-04-21,2026-06-22,685,8.1,0,Pending,217,454.55,13.01833,77.58215,62,1,95.73,Road Transport and Highways,0.0
PRJ-KA-1009,Mysuru Smart City Bypass,Karnataka,Mysuru,Section 19 Declaration (R&R Scheme),2024-06-25,2025-09-05,2025-12-26,437,35.2,0,Completed,72,3403.11,12.33878,76.61383,112,1,95.73,Road Transport and Highways,0.0
PRJ-GU-1010,Vadodara Greenfield Airport Access Highway,Gujarat,Vadodara,Section 4 - Preliminary Notification,2023-09-27,2025-08-19,2025-11-19,692,13.1,0,Pending,2104,2702.57,22.27495,73.20343,92,1,99.99,Road Transport and Highways,0.0
PRJ-GU-1011,Surat Industrial Corridor Node,Gujarat,Surat,Social Impact Assessment (SIA),2024-07-06,2025-01-02,2025-08-25,180,23.6,1,In Progress,2026,2156.46,21.12851,72.78964,235,1,99.99,Road Transport and Highways,0.0
PRJ-RA-1012,Jaipur High-Speed Rail Corridor,Rajasthan,Jaipur,Award of Compensation (Section 23/30),2023-05-09,2024-03-15,2025-01-19,311,73.7,1,Completed,2276,2360.17,26.9867,75.85593,310,1,97.33,Road Transport and Highways,0.0
PRJ-KA-1013,Mysuru Industrial Corridor Node,Karnataka,Mysuru,Section 19 Declaration (R&R Scheme),2024-06-13,2026-03-17,2027-03-02,642,30.9,1,Pending,945,555.36,12.30995,76.56055,350,1,95.73,Road Transport and Highways,0.0
PRJ-MA-1014,Nagpur Industrial Corridor Node,Maharashtra,Nagpur,Section 4 - Preliminary Notification,2024-06-10,2025-08-07,2026-05-16,423,2.0,1,Pending,2013,1082.9,21.21548,79.09957,282,1,99.96,Road Transport and Highways,0.0
PRJ-OD-1015,Bhubaneswar Dedicated Freight Corridor,Odisha,Bhubaneswar,Section 4 - Preliminary Notification,2023-04-10,2024-12-21,2025-05-23,621,10.9,1,Pending,1708,1336.9,20.32384,85.90197,153,1,99.88,Road Transport and Highways,0.0
PRJ-TA-1016,Coimbatore High-Speed Rail Corridor,Tamil Nadu,Coimbatore,Social Impact Assessment (SIA),2023-07-16,2024-07-24,2024-10-19,374,10.6,0,Pending,599,1946.56,11.07672,76.88786,87,1,99.92,Road Transport and Highways,0.0
PRJ-MA-1017,Nagpur River Valley Hydro Irrigation Link,Maharashtra,Nagpur,Section 4 - Preliminary Notification,2023-04-06,2024-06-01,2024-10-31,422,13.0,1,Pending,2014,707.14,21.21019,79.03454,152,1,99.96,Road Transport and Highways,0.0
PRJ-OD-1018,Sambalpur Metro Rail Phase-II,Odisha,Sambalpur,Section 19 Declaration (R&R Scheme),2024-07-23,2026-06-01,2027-09-30,678,32.6,1,Pending,1240,668.57,21.50658,83.91035,486,1,99.88,Road Transport and Highways,0.0
PRJ-GU-1019,Vadodara National Highway Expansion,Gujarat,Vadodara,Award of Compensation (Section 23/30),2023-03-24,2024-03-28,2024-05-01,370,60.6,0,In Progress,303,379.55,22.37786,73.19235,34,1,99.99,Road Transport and Highways,0.0
PRJ-MA-1020,Bhopal National Highway Expansion,Madhya Pradesh,Bhopal,Award of Compensation (Section 23/30),2023-03-25,2024-11-23,2025-06-14,609,92.1,1,In Progress,2340,2352.2,23.28706,77.38287,203,1,99.97,Road Transport and Highways,0.0
PRJ-BI-1021,Patna Metro Rail Phase-II,Bihar,Patna,Section 19 Declaration (R&R Scheme),2023-11-20,2024-07-31,2024-09-19,254,74.8,0,In Progress,2569,181.21,25.60012,85.13854,50,1,99.55,Road Transport and Highways,0.0
PRJ-MA-1022,Thane Dedicated Freight Corridor,Maharashtra,Thane,Section 11 Notification,2023-10-19,2024-09-24,2025-02-20,341,33.4,0,Pending,2250,1617.92,19.24516,72.98684,149,1,99.96,Road Transport and Highways,0.0
PRJ-UT-1023,Kanpur High-Speed Rail Corridor,Uttar Pradesh,Kanpur,Section 4 - Preliminary Notification,2024-07-20,2025-06-24,2026-04-13,339,5.1,1,Pending,2502,1062.37,26.4799,80.38837,293,1,96.79,Road Transport and Highways,0.0
PRJ-MA-1024,Nagpur High-Speed Rail Corridor,Maharashtra,Nagpur,Possession & Physical Transfer,2024-03-09,2025-06-15,2025-06-29,463,90.9,0,Completed,1391,297.69,21.1844,79.09647,14,0,99.96,Road Transport and Highways,0.0
PRJ-AN-1025,Visakhapatnam National Highway Expansion,Andhra Pradesh,Visakhapatnam,Section 4 - Preliminary Notification,2023-03-19,2024-02-14,2024-07-14,332,2.2,1,Pending,1537,1977.73,17.62719,83.18782,151,1,98.75,Road Transport and Highways,0.0
PRJ-UT-1026,Lucknow High-Speed Rail Corridor,Uttar Pradesh,Lucknow,Section 11 Notification,2024-07-27,2026-03-15,2026-12-27,596,42.9,1,Pending,3094,3412.35,26.92289,80.99592,287,1,96.79,Road Transport and Highways,0.0
PRJ-OD-1027,Bhubaneswar Dedicated Freight Corridor,Odisha,Bhubaneswar,Section 11 Notification,2023-06-13,2024-03-29,2024-03-29,290,21.7,0,In Progress,183,1431.51,20.27205,85.87579,0,0,99.88,Road Transport and Highways,0.0
PRJ-UT-1028,Lucknow National Highway Expansion,Uttar Pradesh,Lucknow,Possession & Physical Transfer,2023-07-17,2025-02-24,2025-03-24,588,82.0,0,Completed,309,1249.68,26.83065,81.02318,28,0,96.79,Road Transport and Highways,0.0
PRJ-TA-1029,Coimbatore National Highway Expansion,Tamil Nadu,Coimbatore,Section 4 - Preliminary Notification,2023-09-25,2024-09-21,2025-05-07,362,8.9,1,Pending,1112,2094.98,10.99211,77.00163,228,1,99.92,Road Transport and Highways,0.0
PRJ-RA-1030,Jodhpur High-Speed Rail Corridor,Rajasthan,Jodhpur,Section 19 Declaration (R&R Scheme),2024-08-13,2025-08-22,2026-11-11,374,53.4,1,Pending,2928,1003.32,26.21718,72.9555,446,1,97.33,Road Transport and Highways,0.0
PRJ-GU-1031,Ahmedabad Metro Rail Phase-II,Gujarat,Ahmedabad,Award of Compensation (Section 23/30),2023-11-13,2025-07-03,2026-03-24,598,55.7,1,Completed,2880,1242.71,23.04889,72.55206,264,1,99.99,Road Transport and Highways,0.0
PRJ-TA-1032,Chennai Multi-Modal Logistics Park,Tamil Nadu,Chennai,Award of Compensation (Section 23/30),2023-01-01,2024-05-06,2024-07-27,491,77.3,0,Completed,1785,1111.16,13.0771,80.26145,82,1,99.92,Road Transport and Highways,0.0
PRJ-RA-1033,Jaipur Expressway Link Road,Rajasthan,Jaipur,Possession & Physical Transfer,2023-03-28,2024-07-10,2024-11-28,470,77.3,1,Completed,2617,1876.76,26.86998,75.75697,141,1,97.33,Road Transport and Highways,0.0
PRJ-MA-1034,Nagpur Dedicated Freight Corridor,Maharashtra,Nagpur,Section 19 Declaration (R&R Scheme),2023-03-16,2024-12-21,2025-11-11,646,62.3,1,In Progress,2604,1538.38,21.1449,79.04724,325,1,99.96,Road Transport and Highways,0.0
PRJ-GU-1035,Ahmedabad Multi-Modal Logistics Park,Gujarat,Ahmedabad,Social Impact Assessment (SIA),2023-06-30,2025-06-09,2026-05-27,710,22.0,1,In Progress,2308,1706.24,22.96383,72.56574,352,1,99.99,Road Transport and Highways,0.0
PRJ-TA-1036,Coimbatore Greenfield Airport Access Highway,Tamil Nadu,Coimbatore,Award of Compensation (Section 23/30),2024-05-31,2026-02-06,2027-01-06,616,57.2,1,Completed,2269,2932.41,11.00881,76.99608,334,1,99.92,Road Transport and Highways,0.0
PRJ-RA-1037,Jaipur Dedicated Freight Corridor,Rajasthan,Jaipur,Section 11 Notification,2024-03-26,2024-12-10,2025-04-01,259,24.6,0,Pending,985,2540.38,26.85454,75.7443,112,1,97.33,Road Transport and Highways,0.0
PRJ-UT-1038,Varanasi High-Speed Rail Corridor,Uttar Pradesh,Varanasi,Section 19 Declaration (R&R Scheme),2024-02-22,2025-07-24,2026-06-12,518,67.5,1,In Progress,1728,1967.75,25.38237,82.98735,323,1,96.79,Road Transport and Highways,0.0
PRJ-KA-1039,Mysuru Greenfield Airport Access Highway,Karnataka,Mysuru,Section 4 - Preliminary Notification,2023-12-27,2025-04-25,2026-01-06,485,11.0,1,Pending,1741,2674.14,12.34378,76.70305,256,1,95.73,Road Transport and Highways,0.0
PRJ-OD-1040,Bhubaneswar Greenfield Airport Access Highway,Odisha,Bhubaneswar,Section 4 - Preliminary Notification,2024-02-03,2025-07-11,2025-09-10,524,12.6,0,Pending,1681,2390.73,20.36323,85.90142,61,1,99.88,Road Transport and Highways,0.0
PRJ-KA-1041,Mysuru Smart City Bypass,Karnataka,Mysuru,Award of Compensation (Section 23/30),2023-01-28,2023-10-20,2023-10-21,265,58.2,0,Completed,580,2303.21,12.27646,76.59327,1,0,95.73,Road Transport and Highways,0.0
PRJ-TA-1042,Coimbatore Multi-Modal Logistics Park,Tamil Nadu,Coimbatore,Section 11 Notification,2024-03-07,2025-05-19,2026-01-18,438,31.2,1,In Progress,1951,2946.95,10.97268,76.88678,244,1,99.92,Road Transport and Highways,0.0
PRJ-UT-1043,Lucknow Dedicated Freight Corridor,Uttar Pradesh,Lucknow,Section 4 - Preliminary Notification,2023-06-06,2024-08-03,2025-04-22,424,14.2,1,Pending,2767,572.84,26.84111,80.9072,262,1,96.79,Road Transport and Highways,0.0
PRJ-MA-1044,Bhopal High-Speed Rail Corridor,Madhya Pradesh,Bhopal,Social Impact Assessment (SIA),2023-11-15,2024-08-31,2025-01-12,290,23.2,1,In Progress,1302,2088.59,23.24336,77.447,134,1,99.97,Road Transport and Highways,0.0
PRJ-BI-1045,Patna Dedicated Freight Corridor,Bihar,Patna,Section 4 - Preliminary Notification,2023-11-05,2024-09-03,2025-01-17,303,5.2,0,Pending,2343,2817.36,25.58264,85.11689,136,1,99.55,Road Transport and Highways,0.0
PRJ-TA-1046,Coimbatore National Highway Expansion,Tamil Nadu,Coimbatore,Section 19 Declaration (R&R Scheme),2024-05-16,2025-02-28,2026-06-04,288,67.3,1,Pending,1508,1602.3,11.00648,76.99321,461,1,99.92,Road Transport and Highways,0.0
PRJ-RA-1047,Jaipur Greenfield Airport Access Highway,Rajasthan,Jaipur,Section 19 Declaration (R&R Scheme),2023-10-02,2025-02-23,2025-07-02,510,50.3,1,In Progress,379,3003.24,26.92358,75.81421,129,1,97.33,Road Transport and Highways,0.0
PRJ-RA-1048,Jaipur Industrial Corridor Node,Rajasthan,Jaipur,Social Impact Assessment (SIA),2024-05-14,2025-06-15,2025-06-15,397,22.6,0,In Progress,1083,1338.66,26.92133,75.78996,0,0,97.33,Road Transport and Highways,0.0
PRJ-MA-1049,Thane Dedicated Freight Corridor,Maharashtra,Thane,Possession & Physical Transfer,2024-02-21,2026-01-01,2026-01-01,680,91.1,0,Completed,1009,2009.84,19.26517,72.91299,0,0,99.96,Road Transport and Highways,0.0
PRJ-KA-1050,Mysuru Dedicated Freight Corridor,Karnataka,Mysuru,Section 11 Notification,2024-08-18,2026-02-26,2026-09-23,557,44.9,1,In Progress,2199,1735.42,12.27209,76.632,209,1,95.73,Road Transport and Highways,0.0
PRJ-GU-1051,Ahmedabad Dedicated Freight Corridor,Gujarat,Ahmedabad,Section 11 Notification,2023-05-03,2024-05-06,2024-12-12,369,36.7,1,In Progress,3050,791.66,23.09938,72.62462,220,1,99.99,Road Transport and Highways,0.0
PRJ-GU-1052,Vadodara Metro Rail Phase-II,Gujarat,Vadodara,Section 4 - Preliminary Notification,2024-06-30,2025-05-05,2025-05-27,309,10.5,0,Pending,248,1068.94,22.2474,73.24015,22,0,99.99,Road Transport and Highways,0.0
PRJ-GU-1053,Ahmedabad National Highway Expansion,Gujarat,Ahmedabad,Award of Compensation (Section 23/30),2023-10-19,2025-08-09,2026-01-30,660,52.3,1,Completed,1420,1753.69,22.96075,72.50185,174,1,99.99,Road Transport and Highways,0.0
PRJ-WE-1054,Kolkata National Highway Expansion,West Bengal,Kolkata,Social Impact Assessment (SIA),2023-06-02,2024-10-05,2025-08-12,491,20.3,1,Pending,1041,435.36,22.61671,88.34476,311,1,99.57,Road Transport and Highways,0.0
PRJ-OD-1055,Bhubaneswar Metro Rail Phase-II,Odisha,Bhubaneswar,Award of Compensation (Section 23/30),2023-03-03,2023-12-09,2023-12-09,281,61.9,0,In Progress,876,3324.43,20.24123,85.77231,0,0,99.88,Road Transport and Highways,0.0
PRJ-GU-1056,Vadodara National Highway Expansion,Gujarat,Vadodara,Section 19 Declaration (R&R Scheme),2024-04-06,2026-01-27,2026-08-02,661,42.7,1,In Progress,973,1125.72,22.23859,73.13855,187,1,99.99,Road Transport and Highways,0.0
PRJ-WE-1057,Kolkata Dedicated Freight Corridor,West Bengal,Kolkata,Section 19 Declaration (R&R Scheme),2023-04-28,2024-06-11,2024-12-25,410,33.2,0,In Progress,1113,2319.58,22.61942,88.37911,197,1,99.57,Road Transport and Highways,0.0
PRJ-TA-1058,Chennai Greenfield Airport Access Highway,Tamil Nadu,Chennai,Section 4 - Preliminary Notification,2024-04-24,2025-08-28,2025-09-12,491,7.4,0,Pending,1140,2494.11,13.01557,80.19708,15,0,99.92,Road Transport and Highways,0.0
PRJ-TA-1059,Coimbatore Smart City Bypass,Tamil Nadu,Coimbatore,Section 11 Notification,2023-01-27,2023-10-27,2024-03-22,273,32.3,0,Pending,2786,916.9,11.09673,76.98337,147,1,99.92,Road Transport and Highways,0.0
PRJ-GU-1060,Vadodara Greenfield Airport Access Highway,Gujarat,Vadodara,Award of Compensation (Section 23/30),2024-03-28,2025-07-05,2026-03-12,464,86.6,1,In Progress,2422,757.99,22.3024,73.16654,250,1,99.99,Road Transport and Highways,0.0
PRJ-GU-1061,Vadodara Industrial Corridor Node,Gujarat,Vadodara,Section 19 Declaration (R&R Scheme),2024-05-22,2025-09-09,2025-11-03,475,54.8,0,Completed,1665,2369.65,22.24129,73.14158,55,1,99.99,Road Transport and Highways,0.0
