Sl. No.,State/UT,Total RORs,Total No. of Villages,Villages of CLR Completed (No.),Villages of CLR Completed (%)
1,Andman and Nicobar Islands,120449,205,205,100
2,Andhra Pradesh,27294315,17564,17344,98.75
3,Assam,4378822,23033,19687,85.47
4,Bihar,42533351,45949,45743,99.55
5,Chandigarh,5392,25,25,100
6,Chhattisgarh,22154450,19818,19672,99.26
7,Goa,789875,425,425,100
8,Gujarat,11940832,18389,18387,99.99
9,Haryana,4929960,7100,6885,96.97
10,Himachal Pradesh,1187349,21067,20922,99.31
11,Jammu and Kashmir,6591042,6850,6828,99.68
12,Jharkhand,2414830,32945,32707,99.28
13,Karnataka,16845472,30715,29404,95.73
14,Kerala,14281074,1674,1674,100
15,Ladakh,249,247,71,28.51
16,Lakshadweep,72425,24,24,100
17,Madhya Pradesh,45642133,55693,55678,99.97
18,Maharashtra,24007776,44798,44781,99.96
19,Manipur,611343,2715,548,20.18
20,Mizoram,356587,911,495,54.34
21,Nagaland,107830,1600,512,32
22,Nct of Delhi,67010,207,196,94.69
23,Odisha,14562018,51788,51726,99.88
24,Puducherry,298219,130,130,100
25,Punjab,5671959,13016,12731,97.81
26,Rajasthan,12228999,48719,47417,97.33
27,Sikkim,182596,421,413,98.1
28,Tamil Nadu,23201068,16810,16797,99.92
29,Telangana,12919557,10947,10190,93.08
30,Dadra and Nagar Haveli and Daman and Diu,96352,100,98,98
31,Tripura,1306362,897,897,100
32,Uttarakhand,1522960,16691,15820,94.78
33,Uttar Pradesh,22566485,109096,105593,96.79
34,West Bengal,48593416,42423,42240,99.57
